date,username,tweet,clean_tweet
2022-12-22,@elonmusk @CollinRugg Aby if these names still there  https://t.co/i688AAhCWv,infinitprocess,infinitprocess
2022-12-22,"Kirby icons will be returning to Nintendo Switch Online! Kirby and the Forgotten Land icons will be available starting December 30th, and Dream Buffet icons will drop on December 28th! Be sure to grab them while they are available again!  https://t.co/u51VmFIWYV",kirbyinformer,kirbyinformer
2022-12-22,Super Mario Run Render Recreation  Made in #Blender3d   #supermario #mario #mariobros #nintendoswitch #art #3dart #3drender #render3d #blenderrender #games #videogames #nintendo #blender #blenderart #Nintendofanart #luigi #commissionsopen #commissions #recreation #remake  https://t.co/pLNx1SgIWa,ujiidow,ujiidow
2022-12-22,Nintendo Switch Online icons returning as part of a daily campaign  https://t.co/iQ1cbFZYpH  https://t.co/hYMLeCGpiW,gonintendotweet,gonintendotweet
2022-12-22,Nintendo Switch Online icons returning as daily special rewards  https://t.co/3qPRoaj7eQ  https://t.co/NSOlD7BDbE,nineverything,nineverything
2022-12-22,"In addition to this, told that before the Wolves left for the road trip, Rudy gifted all of the ball boys/girls with a Nintendo Switch and a game. Pretty cool move for a group of youngsters that hustle unnoticed.",jonkrawczynski,jonkrawczynski
2022-12-22,"What I appreciate about the BAYC brand and universe being built is that it lacks ego. The way Nintendo games contrast to other popular franchises, it’s more about fun, whimsy, and adventure. Not delivering “cool” or encouraging people to peacock.  https://t.co/VuuHxM8Xy1",boredelonmusk,boredelonmusk
2022-12-22,If you love your games console. Your Nintendo or PlayStation or Xbox. That’s great. There are so many good games that help you enjoy life a little bit more. Your games machine is a wonderful thing.   But… you don’t have to hate the other ones. Live and let live  Merry Christmas,chris_dring,chrisdring
2022-12-22,"ClayFighter: Sculptor's Cut (Nintendo 64, 1998) Rough, Authentic, Tested &amp; Works Condition:Acceptable  https://t.co/F7KrO2THYi",abusedgames,abusedgames
2022-12-22,Advance Wars fans had it rough this year. Game really went from December 2021 to April 2022 to now we're gonna end 2022 and it still isn't out 💀  Also knowing that the game is already done cause someone got to play it early in April before Nintendo pulled it. Hopefully next year  https://t.co/hfOaeKWtPR,actualaero,actualaero
2022-12-22,Nintendo Gearing up for Holiday Season by Destroying Any Remaining Stock    https://t.co/WpLzwVhJ3D,harddrivemag,harddrivemag
2022-12-22,"Afterimage will be released on April 25, 2023 on Nintendo Switch, Xbox One, Xbox Series X|S, PS4|5, and PC! Check out our release date announcement trailer with brand new contents!  Wishlist now:  https://t.co/d9qNR82gux Discord:  https://t.co/3H0xBuF7EW #metroidvania #indiegames  https://t.co/0uJfBnIKyX",playafterimage,playafterimage
2022-12-22,Lottie once again tries to show Digby how much he means to her during the holidays.  And yet he still will never put two and two together somehow.  #AnimalCrossing #lottie #digby #toyday #Christmas #fanart #Nintendo #artists #ArtistOnTwitter  https://t.co/yvczCIfSJs,floofy_chu,floofychu
2022-12-22,Stranger Things actor really wants Nintendo to make animated Zelda movie  https://t.co/0l7k7xmF7d,mynintendonews,mynintendonews
2022-12-22,"Redeem your points and enjoy this sweet My Nintendo reward, an adorable Kirby Dream Buffet keychain!   https://t.co/pERRd2GA1C  https://t.co/BiE8mxrjRd",nintendoamerica,nintendoamerica
2022-12-22,"Happy anniversary to the launch of the original Mighty Switch Force on Nintendo 3DS! It's been 11 years since Officer Wagon first reported for duty, delivering eye-popping visuals and block-switching, crime-fighting, puzzle-platforming action! Justice served!  https://t.co/OYVwAoNTLN",wayforward,wayforward
2022-12-22,Rosalina doodles ^o^ #Nintendo #SuperMario #MarioBros  https://t.co/jXYZlERG8C,ellenent,ellenent
2022-12-22,GIVEAWAY TIME!!!!!  For a chance to win this insanely fun game Project Warlock on Nintendo switch these are the rules.   Follow this account   Join our discord  https://t.co/z8wLsOXyxq  Like and retweet this post.  🔥🔥🙌  Good luck and giveaway is only United States. thanks 🙏  https://t.co/KA4kGZqo3L,rob_makes_games,robmakesgames
